PROGRAM (1, 1) "program"
IDENTIFIER (1, 11) "kolich"
SEMICOLON (1, 17) ";"
VAR (3, 1) "var"
IDENTIFIER (4, 3) "k"
COMMA (4, 4) ","
IDENTIFIER (4, 6) "i"
COLON (4, 7) ":"
IDENTIFIER (4, 9) "integer"
SEMICOLON (4, 16) ";"
IDENTIFIER (5, 3) "a"
COLON (5, 4) ":"
ARRAY (5, 6) "array"
LEFT_BRACKET (5, 11) "["
FLOAT (5, 12) "1."
DOT (5, 14) "."
INTEGER (5, 15) "10"
RIGHT_PAREN (5, 17) "]"
OF (5, 19) "of"
IDENTIFIER (5, 22) "integer"
SEMICOLON (5, 29) ";"
BEGIN (7, 1) "begin"
IDENTIFIER (8, 3) "randomize"
SEMICOLON (8, 12) ";"
IDENTIFIER (10, 3) "for"
IDENTIFIER (10, 7) "i"
ASSIGN (10, 8) ":="
INTEGER (10, 8) "1"
IDENTIFIER (10, 12) "to"
INTEGER (10, 15) "10"
IDENTIFIER (10, 18) "do"
IDENTIFIER (10, 21) "a"
LEFT_BRACKET (10, 22) "["
IDENTIFIER (10, 23) "i"
RIGHT_PAREN (10, 24) "]"
ASSIGN (10, 26) ":="
IDENTIFIER (10, 29) "random"
LEFT_PAREN (10, 35) "("
INTEGER (10, 36) "100"
RIGHT_PAREN (10, 39) ")"
SEMICOLON (10, 40) ";"
IDENTIFIER (11, 3) "for"
IDENTIFIER (11, 7) "i"
ASSIGN (11, 8) ":="
INTEGER (11, 8) "1"
IDENTIFIER (11, 12) "to"
INTEGER (11, 15) "10"
IDENTIFIER (11, 18) "do"
IDENTIFIER (11, 21) "write"
LEFT_PAREN (11, 27) "("
IDENTIFIER (11, 28) "a"
LEFT_BRACKET (11, 29) "["
IDENTIFIER (11, 30) "i"
RIGHT_PAREN (11, 31) "]"
COMMA (11, 32) ","
STRING (11, 34) "' '"
RIGHT_PAREN (11, 34) ")"
SEMICOLON (11, 38) ";"
IDENTIFIER (13, 3) "k"
ASSIGN (13, 5) ":="
INTEGER (13, 8) "0"
SEMICOLON (13, 9) ";"
IDENTIFIER (14, 3) "for"
IDENTIFIER (14, 7) "i"
ASSIGN (14, 8) ":="
INTEGER (14, 8) "1"
IDENTIFIER (14, 12) "to"
INTEGER (14, 15) "10"
IDENTIFIER (14, 18) "do"
IF (15, 5) "if"
IDENTIFIER (15, 8) "a"
LEFT_BRACKET (15, 9) "["
IDENTIFIER (15, 10) "i"
RIGHT_PAREN (15, 11) "]"
GREATER (15, 13) ">"
INTEGER (15, 15) "50"
THEN (15, 18) "then"
IDENTIFIER (16, 7) "k"
ASSIGN (16, 9) ":="
IDENTIFIER (16, 12) "k"
PLUS (16, 14) "+"
INTEGER (16, 16) "1"
SEMICOLON (16, 17) ";"
IDENTIFIER (18, 3) "write"
LEFT_PAREN (18, 8) "("
STRING (18, 9) "'k='"
COMMA (18, 9) ","
IDENTIFIER (18, 15) "k"
RIGHT_PAREN (18, 16) ")"
END (20, 1) "end"
DOT (20, 4) "."
